面积（平方米）,价格（元/月）,类别
40,2600,0
55,1200,0
88,2800,0
52.31,1669,0
30,1300,0
40,1350,0
30,1400,0
83.52,6400,2
70,1500,0
57.31,2000,0
40,1100,0
45,2600,0
22.35,2600,0
88,1700,0
65,900,0
60,2000,0
104,3300,2
38,1900,0
89,600,0
50,3800,2
45,1350,0
37.66,1400,0
36,1700,0
71.94,1300,0
30,1600,0
51.08,1698,0
95,1600,0
44.94,1500,0
61.27,3200,2
43,900,0
32,1500,0
63.95,1800,0
20.71,1200,0
35.47,2300,0
58.08,1700,0
23,1600,0
37.32,1700,0
53.93,1600,0
39,800,0
45,900,0
86,1400,0
43,1600,0
82,900,0
49.45,1400,0
51.5,1500,0
70,4500,2
102,2000,0
56.77,750,0
42.86,1550,0
60,1300,0
108.76,3800,2
104,2000,0
60,850,0
61.49,1300,0
90,1400,0
33,1800,0
65,1400,0
71,1300,0
27,1650,0
30,900,0
60,2500,0
68,1300,0
60,1900,0
48.7,2000,0
100,3300,2
35,2100,0
43,1400,0
55.85,2880,0
44,1500,0
94,1700,0
55.61,2900,0
68,1800,0
86,1300,0
30,1000,0
30,1400,0
70.49,1200,0
60,950,0
48.5,1800,0
140.31,5500,2
99,2000,0
100,2500,0
81.44,1600,0
30,1600,0
34,1100,0
69.37,2500,0
56,2400,0
42.8,1700,0
78,1100,0
125.96,5100,2
55,700,0
49.27,3200,2
55,3700,2
49.6,1700,0
45,1500,0
110.54,2100,0
94,4800,2
93,3650,2
90.87,1400,0
91,2900,0
42,1700,0
30,1200,0
40,2100,0
40,2300,0
69,1200,0
85,1500,0
80,1300,0
100,4700,2
63,1750,0
90,3200,2
132.73,14400,1
105,2200,0
48,1300,0
40,1400,0
38.57,2100,0
36.99,1600,0
33,3000,0
49.09,1100,0
90,1200,0
65,2800,0
56.77,1250,0
67.73,6200,2
58,1400,0
67.48,1400,0
60,1600,0
50,1900,0
55,1100,0
47.52,4200,2
51,1800,0
96.26,2700,0
388,4166,2
61,2600,0
94,800,0
106.55,4300,2
43.41,1550,0
86.17,800,0
22,1100,0
42,1400,0
90,1500,0
70,2900,0
75,1300,0
14.61,1500,0
21,1300,0
131,1800,0
50,2500,0
65.38,1700,0
12,1300,0
90,1500,0
60,1550,0
78.93,2200,0
63,1200,0
42.46,2100,0
55,3500,2
47,2000,0
56,2500,0
89.76,2500,0
56,2500,0
57.08,3200,2
76.45,2800,0
82,2500,0
93.53,2000,0
92.59,3600,2
47,1900,0
83.19,3300,2
83,1400,0
30,1500,0
75,2500,0
107,2500,0
30,1500,0
103,1800,0
66.63,4500,2
81,1224,0
33,1600,0
52.36,1900,0
76.62,2500,0
130,2700,0
66.67,1400,0
41,1900,0
66.38,1400,0
66,1300,0
40,3500,2
118,1600,0
84,1350,0
93.53,4200,2
100,2950,0
60,1900,0
86.8,1400,0
91,1500,0
80.56,2000,0
85,800,0
