面积,价格,所在街道,prediction
78.66,2200,"福东路,近津塘路",4
84,1600,雪山路,0
44,1400,和睦西道11号,0
22.6,1900,五马路58号,0
58,1000,无暇街,0
94,3500,六纬路199号,4
95.62,2500,"汾河道,近姚江东路",4
126,3800,万科花园路,3
50,750,津同公路151号,0
86.33,3000,大直沽五号路,4
43,1700,育红路7号,0
27.11,1700,平安街56号,0
34,1300,先锋路,0
160,7500,万科花园路,3
47,1300,双环东路,0
79.97,1300,龙顺道162号,0
58,1600,"辰兴路,近南仓道",0
61.09,1400,果园东路6号,0
49.4,1800,华龙道80号,0
82,2200,富民路,4
51.59,2000,"旌智道,近新英路",0
30,1500,宾水西道98号,0
70,2400,十三经路18号,4
58,2400,红旗南路,4
88,5200,南运河南路,3
97,3800,赛达大道,3
50.56,2600,冶金路20号,4
60,2800,桃源村大街,4
87.6,1200,233国道,0
50,2400,迎风道1号,4
47.14,2500,北城街,4
38,1300,陵水道4号,0
54,1600,西青道,0
62,2600,卫津南路37号,4
65,1200,花园路3号,0
104.16,2000,杭州道,0
40,1550,"淮东路,近北辰道",0
25,1200,芥园西道,0
67,1800,富民路,0
105,3300,海逸道,4
93.35,4500,宾水西道,3
73,2000,富民路,0
193.4,8000,宾水西道189号,3
65,1700,"名盛道,近华庭路",0
88,2000,民盛道,0
90,1000,"北旺道,近贵昌路",0
77,2200,津围公路134号,4
94.86,2300,祥和大道180号,4
68,3000,十三经路18号,4
60,1300,"滨河道,近翠亨路",0
50.52,4000,北马路339号,3
32,2900,拉萨道4号,4
59.56,2500,南京路125号,4
40,800,杨六公路,0
138,3600,盛达街,4
77.35,1600,"齐河路,近东平路",0
90,1600,界河路,0
57.97,2000,昆纬路99号,0
90,1160,仁和路,0
172,8900,友谊路,1
46.42,1950,金纬路301号,0
50,1600,雅致道,0
47,2200,"虹光路,近迎贤道",4
39.81,2000,黄河道72号,0
65,1300,营建路,0
120,3600,景盛路,4
130,1600,"南城东路,近北外环路",0
99.56,2900,北辰道,4
38,2000,咸阳路,0
9,600,"泉尚路,近泉雅道",0
80,1600,芦北路,0
48,2500,"宾水西道,近凌宾路",4
97.29,3100,华苑路45号,4
54,2500,淦江路11号,4
42.84,2500,艺林路,4
154,5500,"潭江道,近江水道",3
105,2600,宜白路,4
40.58,1700,月纬路,0
90,1000,建设路,0
40.29,2500,迎风道1号,4
58.93,3300,营口道156号,4
70,1800,车站北路39号,0
38.55,2500,岳阳道,4
87,3200,迎春道389号,4
40,1600,崂山道,0
130,1300,环湖东路,0
70.72,1400,顺畅路104号,0
76,1100,环湖东路,0
145,3600,"永宁路,近晨光道",4
57,1200,"石化路,近喜荣街",0
53,2300,广开大街10号,4
91,2200,驯海路,4
82,1400,辛老路,0
51.02,1800,向阳路60号,0
60,2111,"律纬路,近三马路",4
30,900,京福线,0
60,1500,艺林路,0
30,1570,"新桂路,近旌智路",0
82,2800,保山道64号,4
40.82,1500,龙洲道1号,0
30,900,京福线,0
57.74,1800,"程永道,近雪山路",0
30,1400,万卉路21号,0
77,1150,丰泽道,0
59,1500,景荷道,0
26.7,1400,大江路,0
33,1300,河北路1431号,0
82.99,1100,大丰路,0
168,4500,天嘉湖大道,3
55.6,3000,"琳科东路,近新阔路",4
44,1400,赤龙街,0
149,7000,宾水西道,3
77.28,3520,华苑东路,4
39,1700,丁字沽一号路37号,0
71.01,1800,"民盛道,近泽润路",0
56.27,1300,泽恩路,0
71,1900,中心大道66号,0
75,3600,大沽南路934号,4
30,1550,任环路,0
68,2200,胜利路174号,4
103,2000,青远路,0
88.16,2800,"观湖路,近东五道",4
55.39,1500,向阳街,0
72,1300,果园北道3号,0
89,2500,光荣道,4
30,1200,新津一支路,0
57.2,2600,"宾水道,近环湖中路",4
46.16,1600,永进路,0
48.41,1800,"千山道,近雪山南路",0
71.6,1300,果园北道3号,0
130,2300,顺境北路56号,4
61.89,2600,金海道106号,4
99,2500,北辰道,4
53.77,3600,北马路339号,4
81,4900,"福安大街,近南市大街",3
62.4,2500,"八纬路,近十五经路",4
60.96,4500,滨江道221号,3
93,1500,"双新大道,近顺境路",0
40,1200,辽河南道,0
58,1900,东马路,0
61,1300,外环西路,0
48.45,1400,京津路1号,0
90.65,4200,"月牙河南路,近海河东路",3
54.06,1200,"北辰道,近高峰路",0
80,2000,谐海路2号,0
50,2300,南京路125号,4
90,2500,港滨路961号,4
105.8,3200,宜白路,4
85,1850,嘉定西路,0
71,2000,中心大道66号,0
69,2300,河北西路1116号,4
44.35,1550,新大路122号,0
75,2300,东马路,4
30,1600,宾水西道98号,0
50.47,3800,北马路339号,3
45.21,1100,果园东路6号,0
94.8,4200,宾水西道,3
85,2150,港滨路961号,4
30,1100,工一号路,0
30,1300,工一号路,0
30,1500,"昌凌路,近绥江道",0
45.12,2200,艳阳路,4
134.52,4300,"绥江道,近白云山路",3
68,2700,华苑东路21号,4
57,2550,"南丰路,近湖波道",4
125,2800,安阳道,4
39,1100,朝阳路,0
125,1800,金龙道,0
44.64,1900,金纬路301号,0
39,1800,中心大道,0
90,2500,龙武道,4
100,3300,海河东路76号,4
77,1700,雅润路,0
63,1800,解放路668号,0
61.52,1700,"程永道,近雪山路",0
73.65,1600,"祥云路,近弘信道",0
30,1450,卫国道157号,0
58,2600,飞云道30号,4
42,1500,红旗路,0
