FID,NAME,KIND
416,天津市第二体育运动学校,A708
417,陈官屯小学,A702
418,惠丰学校,A702
419,静海县大庄子中学,A703
420,天津市树才中学,A703
421,万科实验模范小学华苑校区,A702
422,天津中学,A703
423,蓟县渔阳中学,A703
424,大柳滩幼儿园,A701
425,西柳行小学,A702
426,宁车沽小学,A702
427,宝坻四中,A703
428,天津宝坻中专,A708
429,宝坻区委党校,A700
430,天津市电子计算机职业中等专业学校,A708
431,河北外国语中学,A703
432,昆纬路第一小学分校,A702
433,吴庄驾校,A706
434,南开中心小学,A702
435,天津市苏家园学校,A703
436,天津劳动经济学校,A708
437,杨柳青三中,A703
438,刘快庄小学,A702
439,豆张庄中心小学,A702
440,杨村街第一小学,A702
441,王庆坨镇六街小学,A702
442,天津音乐学院附属中等音乐学校,A708
443,溏沽十三中,A703
444,咸水沽第四小学,A702
445,徐官屯街段庄中心小学,A702
446,天津对外经济贸易职业学院北门,A700
447,ＬＧ南王平希望中心小学,A702
448,赵沽里中心小学,A702
449,天津求知中学,A703
450,天津铁道职业技术学院南校区,A700
451,红星路小学,A702
452,梅厂中学,A703
453,天津市小淀中学,A703
454,闽侯路小学三分校,A702
455,天津市葛沽第一中学,A703
456,天津市蓟县下仓镇中学,A703
457,中西学校,A703
458,天津市宝坻区何仉庄中学,A703
459,口东镇黑狼口中学,A703
460,昆纬路第一小学新校区,A702
461,杨村第三中学,A703
462,十四户学校,A702
463,跃进里小学,A702
464,大良镇北小营中心小学,A702
465,下伍旗镇忠义中心幼儿园,A701
466,下伍旗镇初级中学,A703
467,天津市和平艺术中学,A703
468,芦台五中,A703
469,武清县汊沽港镇四街小学,A702
470,津门小学,A702
471,北辰区朱唐庄小学,A702
472,梅江中学,A703
473,天津市第十四中学,A703
474,天津师范大学附属小学,A702
475,振华驾校,A706
476,第一中心小学,A702
477,塘沽十幼,A701
478,东马房小学,A702
479,集贤里小学,A702
480,下伍旗中心小学,A702
481,河北十幼学前部,A701
482,宝坻区大口屯镇第一中心小学,A702
483,天津城市职业学院红桥分院北洋校区,A700
484,武清城关中学,A703
485,宝坻区牛家牌中心小学,A702
486,王庄军民小学,A702
487,大王古庄中学,A703
488,草场街小学,A702
489,许辛庄小学,A702
490,黄花店初级中学,A703
491,黄花店中学,A703
492,大港四小,A702
493,良王庄中学,A703
494,天津市大港四中,A703
495,大港区第五小学,A702
496,塘沽区委党校,A700
497,哈密道小学,A702
498,天津市和平保育院,A701
499,小站一小,A702
500,袁辛庄完全小学校,A702
501,石各庄镇中学,A703
502,塘沽一幼,A701
503,津南区双闸中心小学,A702
504,汊沽港乡二街中心小学,A702
505,天津大沽化教育中心,A709
506,塘沽九中,A703
507,石各庄成人文化技术学校,A709
508,塘沽新湖学校,A702
509,大道张庄小学,A702
510,河西务镇中白庙完全小学,A702
511,北陈庄下伍旗镇中心小学,A702
512,首驿小学,A702
513,天津市青华学校,A703
514,武清区东马圈中心小学,A702
515,庞肖中心小学,A702
516,龚庄小学,A702
517,康宏驾驶员培训中心,A706
518,武清区黄庄乡马家口小学,A702
519,青光小学,A702
520,天津市河头学校,A703
521,渤海石油第二小学,A702
522,辛侯庄小学,A702
523,洪湖里小学,A702
